type,name,full_name,isin,haircut,value
mf,HLQDLFG,HDFC LIQUID FUND - GROWTH,INF179KB1HK0,10,90
mf,IDDFRDDR,IDFC MONEY MANAGER FUND-DAILY IDCW REINVESTMENT-(DIRECT PLAN),INF194K01M98,10,90
mf,IDFC295,IDFC GOVERNMENT SECURITIES FUND - INVESTMENT PLAN- PERIODIC (REGULAR PLAN)-IDCW PAYOUT,INF194KA1RW6,10,90
mf,IDFC295R,IDFC GOVERNMENT SECURITIES FUND INVESTMENT PLAN-REGULAR PLAN -PERIODIC IDCW REINVESTMENT,INF194KA1RX4,10,90
mf,IDFC86,IDFC GOVERNMENT SECURITIES FUND- INVESTMENT PLAN-REGULAR PLAN-GROWTH,INF194K01DZ2,10,90
mf,IDFCD86,IDFC GOVERNMENT SECURITIES FUND-INVESTMENT PLAN-GROWTH-(DIRECT PLAN),INF194K01Q29,10,90
mf,IDFCDFCCD,IDFC CASH FUND-DAILY IDCW REINVESTMENT-(DIRECT PLAN),INF194K01I78,10,90
mf,IDFCDFCCG,IDFC CASH FUND-GROWTH-(DIRECT PLAN),INF194K01I60,10,90
mf,IDFCDFRG,IDFC MONEY MANAGER FUND-GROWTH-(DIRECT PLAN),INF194K01M80,10,90
mf,IDFCFCCD,IDFC CASH FUND - DAILY IDCW REINVESTMENT - REGULAR,INF194K01VY7,10,90
mf,IDFCFCCG,IDFC CASH FUND -REGULAR PLAN-GROWTH,INF194K01VX9,10,90
mf,IDFCFCCM,IDFC CASH FUND - MONTHLY - IDCW REINVESTMENT,INF194K01WF4,10,90
mf,IDFCFCCMR,IDFC CASH FUND - MONTHLY - IDCW REINVESTMENT,INF194K01WE7,10,90
mf,IDFCFCCW,IDFC CASH FUND -WEEKLY-IDCW REINVESTMENT,INF194K01WH0,10,90
mf,IDFCFRG,IDFC MONEY MANAGER FUND -REGULAR PLAN-GROWTH,INF194K01LJ9,10,90
mf,IDFCFRW,IDFC MONEY MANAGER FUND-WEEKLY-IDCW REINVESTMENT,INF194K01LQ4,10,90
mf,IDFCONF,IDFC OVERNIGHT FUND REGULAR PLAN-GROWTH,INF194KB1314,10,90
mf,IDFCONFDG,IDFC OVERNIGHT FUND DIRECT PLAN-GROWTH,INF194KB1447,10,90
mf,IDGIF2027G,IDFC CRISIL GILT 2027 INDEX FUND REGULAR PLAN-GROWTH,INF194KB1BL2,10,90
mf,IDGIF2028G,IDFC CRISIL GILT 2028 INDEX FUND REGULAR PLAN-GROWTH,INF194KB1BS7,10,90
mf,IDLFD1R,IDBI LIQUID FUNDDIRECT PLAN - DAILY IDCW REINVESTMENT,INF397L01AI1,10,90
